Recherche par filtre (famille/fournisseurs),Unnamed: 1,Unnamed: 2,Unnamed: 3,RECHERCHE PAR MOT CLÉ:,Unnamed: 5,Résultats de votre recherche:,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
,,,                                                    supprimer les filtres activés avant la recherche par mot clé,,,,,,,,,,
,,,                      mot clé en cliquant sur le symbole   ,,,,,,,,,,
,,,,,,,,,,,,,
,,,,Saisissez votre mot clé et cliquez sur la ligne de résultat désirée pour l'affichée dans la saisie.,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,TOTAL INVENTAIRE SOLIDE:,,,,,,,,,
,,,,10029.630626,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Fournisseurs,Code article,Famille,,*FACTUR*,QUANTITE,Prix*,VALORISATION,,,,,,
Fournisseurs,Code article,Famille,Libelle article - conditionnement,UNITE D'INVENTAIRE,QUANTITE,TARIF HT,VALORISATION,,,,,,
Caviar frais,121035,FRAIS,Morceaux de muscles à hacher vbf       frais,KG,80.837,11.2,905.3744,,,,,,
Caviar frais,131020,FRAIS,Pave rtk 170 grs       frais,KG,7.689,18.4,141.4776,,,,,,
Caviar frais,131041,FRAIS,Bavette aloyau 170 grs       frais,KG,4.592,16,73.472,,,,,,
Caviar frais,131044,FRAIS,Araignee pac       frais,KG,5.83,18.5,107.855,,,,,,
Caviar frais,131047,FRAIS,Onglet 200 grs       frais,KG,8.604,19,163.476,,,,,,
Caviar frais,131061,FRAIS,Panache onglet 80 grs       frais,KG,4.332,17.5,75.81,,,,,,
Caviar frais,131062,FRAIS,Panache araignees 80 grs       frais,KG,4.384,17,74.528,,,,,,
Caviar frais,131063,FRAIS,Panache poire 80 grs       frais,KG,4.152,16.7,69.3384,,,,,,
Caviar frais,131071,FRAIS,Entrecotes 300 grs race a viande       frais,KG,0,25.4,0,,,,,,
Caviar frais,131072,FRAIS,Entrecotes 230 grs       frais,KG,11.606,25,290.15,,,,,,
Caviar frais,131073,FRAIS,Surprise du boucher 170 grs       frais,KG,9.557,15.9,151.9563,,,,,,
Caviar frais,131106,FRAIS,Cotes 430 grs        frais,KG,5.32,23,122.36,,,,,,
Caviar frais,151005,FRAIS,Mi cuit de bœuf - tataki       frais,KG,6.078,17.1,103.9338,,,,,,
Caviar frais,151009,FRAIS,Millefeuille 180 grs       frais,KG,3.836,17.1,65.5956,,,,,,
Caviar frais,900003,FRAIS,Fromage frais et poivrons confits (sauce maquignon)       frais,KG,6,7.78,46.68,,,,,,
Caviar frais,900004,FRAIS,GOURDE COMPOTE,KG,6.03,4.68,28.2204,,,,,,
Caviar frais,900048,FRAIS,Embeurrée de pommes de terre       frais,KG,13.5,6.5,87.75,,,,,,
Caviar frais,900051,FRAIS,Bloc de foie gras de canard mi-cuit        frais,KG,3.83,36,137.88,,,,,,
Caviar frais,900058,FRAIS,Prépa pommes       frais,KG,3.5,5.12,17.92,,,,,,
Caviar frais,900070,FRAIS,Sauce béarnaise       frais,KG,14.7,8.3,122.01,,,,,,
Caviar frais,900071,FRAIS,Sauce poivre        frais,KG,15.68,7.7,120.736,,,,,,
Caviar frais,900072,FRAIS,Sauce roquefort       frais,KG,15.68,9.1,142.688,,,,,,
Caviar frais,900075,FRAIS,Préparation basilic       frais,KG,7.74,10.5,81.27,,,,,,
Caviar frais,900078,FRAIS,Sauce caesar       frais,KG,4.5,7.9,35.55,,,,,,
Caviar frais,900091,FRAIS,St marcellin       frais,KG,3.04,9.79,29.7616,,,,,,
Caviar frais,900095,FRAIS,Terrines de foie de volaille 70grs       frais,KG,6.72,11.2,75.264,,,,,,
Caviar frais,900098,FRAIS,Mayonnaise premium        frais,KG,5,5.79,28.95,,,,,,
Caviar frais,900104,FRAIS,Oreillons de pêches       frais,KG,13.5,6.99,94.365,,,,,,²
Caviar frais,900115,FRAIS,Rillettes du mans à l'ancienne       frais,KG,3.96,8.04,31.8384,,,,,,
Caviar frais,900116,FRAIS,Puree de pommes sans sucre ajoutée       frais,KG,,5.31,0,,,,,,
Caviar frais,900117,FRAIS,Crayons aux herbes       frais,KG,3.25,13.99,45.4675,,,,,,
Caviar frais,151012,FRAIS,Eminces de boeuf 180 grs marines (ail des ours ou citron poivre vert)       frais,KG,7.083,9.9,70.1217,,,,,,
Caviar surgele,132007,SURG,Cubes brochettes 40 grs     surgele,KG,6.68,11.7,78.156,,,,,,
Caviar surgele,132009,SURG,Entrecotes enfants * 4      surgele,KG,5.18,7,36.26,,,,,,
Caviar surgele,132077,SURG,Trésor du louchebem (pièce de 350g)     surgele,KG,10.958,19.3,211.4894,,,,,,
Caviar surgele,132078,SURG,Cotes 430 grs     surgele,KG,1.768,18.3,32.3544,,,,,,
Caviar surgele,132085,SURG,Entrecotes 300 grs race a viande     surgele,KG,11.12,22.9,254.648,,,,,,
Caviar surgele,132086,SURG,Entrecotes 230 grs      surgele,KG,6.574,18.9,124.2486,,,,,,
Caviar surgele,802003,SURG,Os a moelle     surgele,KG,20.02,3.8,76.076,,,,,,
Caviar surgele,902006,SURG,Chèvre palets     surgele,KG,7.9,11.29,89.191,,,,,,
Caviar surgele,902152,SURG,Préparation base à tartare     surgele,KG,20,9,180,,,,,,
Caviar surgele,902170,SURG,Fondue d'échalotes     surgele,KG,10.2,10.1,103.02,,,,,,
Caviar surgele,902171,SURG,Choux cuits 11 grs     surgele,KG,2.512,12.5,31.4,,,,,,
Caviar surgele,902173,SURG,Brochette de poulet bacon     surgele,KG,0,12.9,0,,,,,,
Caviar surgele,902177,SURG,Chèvre cube soignon  10*10     surgele,KG,8.25,11.01,90.8325,,,,,,
Caviar surgele,902179,SURG,Galette de soja     surgele,KG,6.35,10.73,68.1355,,,,,,
Caviar surgele,902187,SURG,Escalope de foie gras poêlée     surgele,KG,1.206,47.9,57.7674,,,,,,
Caviar surgele,902188,SURG,Riz blanc cuisiné     surgele,KG,13.2,5.48,72.336,,,,,,
Caviar surgele,902194,SURG,Blinis poivrons piquillos     surgele,KG,1.4,17.2,24.08,,,,,,
Caviar surgele,902195,SURG,Blinis au beurre nature     surgele,KG,1.4,16.1,22.54,,,,,,
Caviar surgele,902207,SURG,Sauce thai     surgele,KG,8,9.5,76,,,,,,
Caviar surgele,902221,SURG,Falafels au quinoa     surgele,KG,1.4,11.88,16.632,,,,,,
Caviar surgele,902234,SURG,Nids oignons     surgele,KG,3.5,8.44,29.54,,,,,,
Caviar surgele,902236,SURG,Demi magret de canard crus     surgele,KG,1.68,16.65,27.972,,,,,,
Caviar surgele,902237,SURG,Léches de porc marinée     surgele,KG,11.649,10.15,118.23735,,,,,,
Caviar surgele,902240,SURG,Tataki de thon     surgele,KG,2.83,17.89,50.6287,,,,,,
Caviar surgele,902276,SURG,Paille dessert à cuire     surgele,KG,2.7,9.5,25.65,,,,,,
Caviar surgele,902277,SURG,Poche crémeux vanille     surgele,KG,3.517,11.19,39.35523,,,,,,
Caviar surgele,902279,SURG,Guacamole epicé     surgele,KG,4.5,9.2,41.4,,,,,,
Caviar surgele,902281,SURG,Crumble aux herbes     surgele,KG,6,12.3,73.8,,,,,,
Caviar surgele,902286,SURG,Houmous citron confits     surgele,KG,3.2,7.6,24.32,,,,,,
Caviar surgele,902287,SURG,Saumon mariné citron poivre     surgele,KG,1.5,28.3,42.45,,,,,,
Caviar surgele,902288,SURG,Aiguillettes de poulet corn flakes     surgele,KG,,8.7,0,,,,,,
Caviar surgele,902302,SURG,Carpaccio de bœuf     surgele,KG,17.5,19.45,340.375,,,,,,
Caviar surgele,902303,SURG,Crumble sucré     surgele,KG,3,10.69,32.07,,,,,,
Caviar surgele,902304,SURG,Caponata de légumes     surgele,KG,0.25,8.45,2.1125,,,,,,
Caviar surgele,902305,SURG,Coulant gourmand chocolat     surgele,KG,2.69,9.69,26.0661,,,,,,
Caviar surgele,902306,SURG,Madeleine salée curry-coco     surgele,KG,2.6,12.2,31.72,,,,,,
Caviar surgele,902307,SURG,Madeleine salée olivade     surgele,KG,2.135,12.2,26.047,,,,,,
Caviar surgele,902308,SURG,Madeleine salée pesto     surgele,KG,1.047,12.2,12.7734,,,,,,
Caviar surgele,902309,SURG,Jambon à griller     surgele,KG,11.611,9.02,104.73122,,,,,,
Caviar surgele,902310,SURG,Tranche de poitrine de porc fumée cuite 20 grs     surgele,KG,4.9,12.7,62.23,,,,,,
Caviar surgele,902311,SURG,Poulet olives-citron vert     surgele,KG,16.74,10.7,179.118,,,,,,
