Recherche par filtre (famille/fournisseurs),Unnamed: 1,Unnamed: 2,Unnamed: 3,RECHERCHE PAR MOT CLÉ:,Unnamed: 5,Résultats de votre recherche:,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
,,,                                                    supprimer les filtres activés avant la recherche par mot clé,,,,,,,,,,
,,,                      mot clé en cliquant sur le symbole   ,,,,,,,,,,
,,,,,,,,,,,,,
,,,,Saisissez votre mot clé et cliquez sur la ligne de résultat désirée pour l'affichée dans la saisie.,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,TOTAL INVENTAIRE SOLIDE:,,,,,,,,,
,,,,11112.1506107895,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Fournisseurs,Code article,Famille,,*FACTUR*,QUANTITE,Prix*,VALORISATION,,,,,,
Fournisseurs,Code article,Famille,Libelle article - conditionnement,UNITE D'INVENTAIRE,QUANTITE,TARIF HT,VALORISATION,,,,,,
Sysco - frais,11681,FRAIS,Andouillette troyes 145g bke st7pc x6,KG,0.4,7.561,3.0244,,,,,,
Sysco - frais,82654,FRAIS,App.crem.brule vanil.bourb. e&v pc1l x6,Litres,,5.038,0,,,,,,
Sysco - frais,81708,FRAIS,Appareil tiramisu debic 1l x6,Litres,2,4.44,8.88,,,,,,
Caviar frais,131044,FRAIS,Araignee pac       frais,KG,2,18.5,37,,,,,,
Caviar frais,131041,FRAIS,Bavette aloyau 170 grs       frais,KG,6.2,16,99.2,,,,,,
Sysco - frais,80947,FRAIS,Beurre 1/2 sel 250g x40,KG,,7.801,0,,,,,,
Sysco - frais,80979,FRAIS,Beurre 1/2 sel microp.10g bt100pc x6,KG,0.5,7.143,3.5715,,,,,,
Sysco - frais,80014,FRAIS,Beurre doux microp.10g bt100pc x6,KG,,7.143,0,,,,,,
Sysco - frais,80269,FRAIS,Beurre past.250g x40,KG,2,7.801,15.602,,,,,,
Sysco - frais,80333,FRAIS,Blanc oeuf liq. bo0.96l/1kg x6,Litres,,2.86,0,,,,,,
Sysco - frais,80032,FRAIS,Bleu auvergne 28%mg aop bke 2.6kg x4,KG,,6.484,0,,,,,,
Caviar frais,900051,FRAIS,Bloc de foie gras de canard mi-cuit        frais,KG,2.97,36,106.92,,,,,,
Sysco - frais,80043,FRAIS,Buchette chevre 22%mg min. 180g,Pièce,,1.643,0,,,,,,
Sysco - frais,80028,FRAIS,Camembert l/cru 20%mg min.240g x12,Pièce,,2.363,0,,,,,,
Sysco - frais,80125,FRAIS,Cantal entre 2 aop 1/16e mdg 2.4kg x4,KG,,8.264,0,,,,,,
Sysco - frais,48101,FRAIS,Chipolata boy.coll.50g env.st20pc x4,KG,,4.89,0,,,,,,
Sysco - frais,80300,FRAIS,Comte bv 35%mg aop 1/12e 3.5kg x3,KG,,12.365,0,,,,,,
Sysco - frais,81645,FRAIS,Copeau grana padano 28%mg aop st500g x8,KG,1,12.88,12.88,,,,,,
Caviar frais,131106,FRAIS,Cotes 430 grs        frais,KG,2.3,23,52.9,,,,,,
Caviar frais,900117,FRAIS,Crayons aux herbes       frais,KG,2.5,13.99,34.975,,,,,,
Sysco - frais,82653,FRAIS,Cream cheese e&v 1kg x4,KG,4.95,7.35,36.3825,,,,,,
Sysco - frais,81653,FRAIS,Creme 35%mg uht bke 1l x6,Litres,20,3.174,63.48,,,,,,
Sysco - frais,47301,FRAIS,Creme anglaise debic 2l x6,Litres,,2.309,0,,,,,,
Sysco - frais,81235,FRAIS,Creme anglaise uht bke br1l x6,Litres,6,1.078,6.468,,,,,,
Sysco - frais,80296,FRAIS,Creme fraiche epaisse,Litres,1,3.352,3.352,,,,,,
Sysco - frais,81244,FRAIS,Creme legere 18%mg uht bke 1l x6,Litres,,2.38,0,,,,,,
Sysco - frais,81118,FRAIS,Creme s/press. uht debic 700ml x6,Pièce,20,6.354,127.08,,,,,,
Sysco - frais,40052,FRAIS,Creme sucree vanil.32%mg 2l x6,Litres,8,4.393,35.144,,,,,,
Sysco - frais,80699,FRAIS,Des fourme ambert 28%mg aop bq500g x 6,KG,1,11.772,11.772,,,,,,
Caviar frais,900048,FRAIS,Embeurrée de pommes de terre       frais,KG,4.5,6.5,29.25,,,,,,
Caviar frais,151012,FRAIS,Eminces de boeuf 180 grs marines (ail des ours ou citron poivre vert)       frais,KG,10.23,9.9,101.277,,,,,,
Sysco - frais,41301,FRAIS,Emmental rape 27%mg min. bke st1kg,KG,,5.98,0,,,,,,
Sysco - frais,80280,FRAIS,Emmental rape français,KG,,5.672,0,,,,,,
Caviar frais,131072,FRAIS,Entrecotes 230 grs       frais,KG,7,25,175,,,,,,
Caviar frais,131071,FRAIS,Entrecotes 300 grs race a viande       frais,KG,0.92,25.4,23.368,,,,,,
Sysco - frais,80703,FRAIS,Faisselle 6%mg ind.100g x24,Pièce,,0.313,0,,,,,,
Sysco - frais,80085,FRAIS,Fromage blanc camp.7%mg min. se5kg,KG,,1.47,0,,,,,,²
Sysco - frais,82707,FRAIS,Fromage blanc nature 3%mg se1kg x6,KG,1,1.615,1.615,,,,,,
Caviar frais,900003,FRAIS,"Fromage frais et poivrons confits
(sauce maquignon)       frais",KG,4,7.78,31.12,,,,,,
Caviar frais,900004,FRAIS,GOURDE COMPOTE,KG,4,4.68,18.72,,,,,,
Sysco - frais,82657,FRAIS,Grana padano aop 1kg env. x10,KG,,10.769,0,,,,,,
Sysco - frais,80828,FRAIS,Jaune oeuf liq. bo0.96l x6,Boite,,4.615,0,,,,,,
Sysco - frais,80001,FRAIS,Lait 1/2 ecreme uht 1l x6,Litres,10,0.625,6.25,,,,,,
Sysco - frais,40299,FRAIS,Lardon fume 8/8 s/at bq1kg x8,KG,,4.98,0,,,,,,
Sysco - frais,80520,FRAIS,Maroilles 26%mg aop 750g,Pièce,,7.335,0,,,,,,
Sysco - frais,80195,FRAIS,Mascarpone 42%mg granarolo 500g x6,KG,,5.725,0,,,,,,
Sysco - frais,82221,FRAIS,Maxi buche pur chevre 24%mg 1kg,KG,,8.777,0,,,,,,
Caviar frais,900098,FRAIS,Mayonnaise premium        frais,KG,6,5.79,34.74,,,,,,
Sysco - frais,48100,FRAIS,Merguez boy.coll.50g env.st20pc s/v x4,KG,,5.77,0,,,,,,
Caviar frais,151005,FRAIS,Mi cuit de bœuf - tataki       frais,KG,8.75,17.1,149.625,,,,,,
Caviar frais,151009,FRAIS,Millefeuille 180 grs       frais,KG,5,17.1,85.5,,,,,,
Caviar frais,121035,FRAIS,Morceaux de muscles à hacher vbf       frais,KG,39.66,11.2,444.192,,,,,,
Sysco - frais,81913,FRAIS,Mozzarella bufflone 24%mg aop 125g x16,Pièce,,1.305,0,,,,,,
Sysco - frais,81984,FRAIS,Mozzarella burratina 18%mg 120g x6,Pièce,40,1.561,62.44,,,,,,
Sysco - frais,82576,FRAIS,Œuf alv. plein air 53/63g bt 12pc x8,Pièce,,0.223,0,,,,,,
Sysco - frais,81675,FRAIS,Oeuf dur ecale alv. moyen 53/63g x45 x2,Pièce,,0.159,0,,,,,,
Sysco - frais,82871,FRAIS,Oeuf plein air alv. 53/63g bt30pc x2,Pièce,66,0.222,14.652,,,,,,
Caviar frais,131047,FRAIS,Onglet 200 grs       frais,KG,6.5,19,123.5,,,,,,
Caviar frais,900104,FRAIS,Oreillons de pêches       frais,KG,15,6.99,104.85,,,,,,
Sysco - frais,82635,FRAIS,Ossau iraty aop 1/4 pain 1.1kg env.x8,KG,1.175,13.097,15.388975,,,,,,
Caviar frais,131062,FRAIS,Panache araignees 80 grs       frais,KG,4.5,17,76.5,,,,,,
Caviar frais,131061,FRAIS,Panache onglet 80 grs       frais,KG,4.5,17.5,78.75,,,,,,
Caviar frais,131063,FRAIS,Panache poire 80 grs       frais,KG,4.5,16.7,75.15,,,,,,
Caviar frais,131020,FRAIS,Pave rtk 170 grs       frais,KG,6,18.4,110.4,,,,,,
Sysco - frais,81348,FRAIS,Prep.cr.brule debic bo1l x6,Litres,13.5,5.038,68.013,,,,,,
Caviar frais,900058,FRAIS,Prépa pommes       frais,KG,6,5.12,30.72,,,,,,
Caviar frais,900075,FRAIS,Préparation basilic       frais,KG,6,10.5,63,,,,,,
Sysco - frais,82996,FRAIS,Préparation pour panna cotta 1l,Litres,13,4.98,64.74,,,,,,
Sysco - frais,82914,FRAIS,Preparation pour tiramisu,Litres,6,5.22,31.32,,,,,,
Caviar frais,900116,FRAIS,Puree de pommes sans sucre ajoutée       frais,KG,,5.31,0,,,,,,
